WorkflowId  WorkflowName                                                                                                                                                                                                                                                    StepName                                                                                                                                                                                                                                                        Sequence    SLAHours    AutoApprove IsFinalReceiver DesignationId DesignationName                                                                                                                                                                                                                                                 AssignedUserName
----------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------- ----------- ----------- --------------- ------------- --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1681        testing                                                                                                                                                                                                                                                         Initiator                                                                                                                                                                                                                                                       1           0           0           0               138           IAT Admin                                                                                                                                                                                                                                                       
1681        testing                                                                                                                                                                                                                                                         Approver 1                                                                                                                                                                                                                                                      2           0           0           0               11            Project Architect                                                                                                                                                                                                                                               
1681        testing                                                                                                                                                                                                                                                         Approver 2                                                                                                                                                                                                                                                      3           0           0           0               77            Sales Manager                                                                                                                                                                                                                                                   
1682        gera testing                                                                                                                                                                                                                                                    Initiator                                                                                                                                                                                                                                                       1           0           0           0               73            IT Manager                                                                                                                                                                                                                                                      
1682        gera testing                                                                                                                                                                                                                                                    Approver 1                                                                                                                                                                                                                                                      2           0           0           0               10            IT Assistant Manager                                                                                                                                                                                                                                            
1682        gera testing                                                                                                                                                                                                                                                    Approver 2                                                                                                                                                                                                                                                      3           0           0           0               55            IT HOD                                                                                                                                                                                                                                                          
4040        14thDayCubeStrengthbelow80PercentofExpected28thDay                                                                                                                                                                                                              Initiator                                                                                                                                                                                                                                                       0           NULL        0           0               30            Quality Engineer                                                                                                                                                                                                                                                NULL
4040        14thDayCubeStrengthbelow80PercentofExpected28thDay                                                                                                                                                                                                              Approver 1                                                                                                                                                                                                                                                      1           NULL        0           0               81            PI                                                                                                                                                                                                                                                              NULL
4040        14thDayCubeStrengthbelow80PercentofExpected28thDay                                                                                                                                                                                                              Approver 2                                                                                                                                                                                                                                                      2           NULL        0           0               60            QAQC HOD                                                                                                                                                                                                                                                        NULL
4040        14thDayCubeStrengthbelow80PercentofExpected28thDay                                                                                                                                                                                                              Approver 3                                                                                                                                                                                                                                                      3           NULL        0           0               50            Construction HOD                                                                                                                                                                                                                                                NULL
4040        14thDayCubeStrengthbelow80PercentofExpected28thDay                                                                                                                                                                                                              Final Receiver                                                                                                                                                                                                                                                  4           NULL        0           1               60            QAQC HOD                                                                                                                                                                                                                                                        NULL
4041        7thDayCubeStrengthbelow50PercentofExpected28thDayS                                                                                                                                                                                                              Initiator                                                                                                                                                                                                                                                       0           NULL        0           0               30            Quality Engineer                                                                                                                                                                                                                                                NULL
4041        7thDayCubeStrengthbelow50PercentofExpected28thDayS                                                                                                                                                                                                              Approver 1                                                                                                                                                                                                                                                      1           NULL        0           0               81            PI                                                                                                                                                                                                                                                              NULL
4041        7thDayCubeStrengthbelow50PercentofExpected28thDayS                                                                                                                                                                                                              Approver 2                                                                                                                                                                                                                                                      2           NULL        0           0               60            QAQC HOD                                                                                                                                                                                                                                                        NULL
4041        7thDayCubeStrengthbelow50PercentofExpected28thDayS                                                                                                                                                                                                              Approver 3                                                                                                                                                                                                                                                      3           NULL        0           0               50            Construction HOD                                                                                                                                                                                                                                                NULL
4041        7thDayCubeStrengthbelow50PercentofExpected28thDayS                                                                                                                                                                                                              Final Receiver                                                                                                                                                                                                                                                  4           NULL        0           1               60            QAQC HOD                                                                                                                                                                                                                                                        NULL
4042        AdditionalPurchaseofSteelorCementbelow25LacsValueP                                                                                                                                                                                                              Initiator                                                                                                                                                                                                                                                       0           NULL        0           0               75            Purchase Manager                                                                                                                                                                                                                                                NULL
4042        AdditionalPurchaseofSteelorCementbelow25LacsValueP                                                                                                                                                                                                              Approver 1                                                                                                                                                                                                                                                      1           NULL        0           0               105           EPC DGM                                                                                                                                                                                                                                                         NULL
4042        AdditionalPurchaseofSteelorCementbelow25LacsValueP                                                                                                                                                                                                              Approver 2                                                                                                                                                                                                                                                      2           NULL        0           0               54            EPC HOD                                                                                                                                                                                                                                                         NULL
4042        AdditionalPurchaseofSteelorCementbelow25LacsValueP                                                                                                                                                                                                              Approver 3                                                                                                                                                                                                                                                      3           NULL        0           0               42            Corporate GM                                                                                                                                                                                                                                                    NULL
